id,liquidity_tier,usd_size,input_mint,output_mint,amount,ours_status,ours_out,jup_restricted_status,jup_restricted_out,jup_unrestricted_status,jup_unrestricted_out,delta_bps_vs_restricted,delta_bps_vs_unrestricted,outcome_vs_restricted,ours_server_ms,ours_rtt_ms,jup_restricted_rtt_ms,jup_unrestricted_rtt_ms,jaccard_vs_restricted
sol-3TYgKwkE-1usd-fwd,tail,1,So11111111111111111111111111111111111111112,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,6250000,ok,1929714686,ok,1914444829,ok,1914444829,79.761,79.761,win,69.000,69.935,144.945,180.600,1.000
sol-3TYgKwkE-1usd-rev,tail,1,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,So11111111111111111111111111111111111111112,303049577,ok,975637,ok,967807,ok,967807,80.905,80.905,win,58.000,59.275,101.760,124.231,1.000
sol-3TYgKwkE-10usd-fwd,tail,10,So11111111111111111111111111111111111111112,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,62500000,ok,19295030638,ok,19142368212,ok,19142368212,79.751,79.751,win,72.000,72.908,106.268,133.530,1.000
sol-3TYgKwkE-10usd-rev,tail,10,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,So11111111111111111111111111111111111111112,3030495774,ok,9756211,ok,9677925,ok,9677925,80.891,80.891,win,65.000,66.070,133.213,201.363,1.000
sol-3TYgKwkE-100usd-fwd,tail,100,So11111111111111111111111111111111111111112,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,625000000,ok,192738941034,ok,191215647048,ok,191215647048,79.664,79.664,win,65.000,65.552,115.537,133.935,1.000
sol-3TYgKwkE-100usd-rev,tail,100,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,So11111111111111111111111111111111111111112,30304957737,ok,97545315,ok,96762603,ok,96762603,80.890,80.890,win,55.000,55.492,186.925,105.956,1.000
sol-3TYgKwkE-1000usd-fwd,tail,1000,So11111111111111111111111111111111111111112,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,6250000000,ok,1906504566070,ok,1891598689027,ok,1891598689027,78.800,78.800,win,69.000,70.240,121.170,126.561,1.000
sol-3TYgKwkE-1000usd-rev,tail,1000,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,So11111111111111111111111111111111111111112,303049577367,ok,973776229,ok,965962578,ok,965962578,80.890,80.890,win,52.000,53.198,139.409,179.506,1.000
sol-3TYgKwkE-10000usd-fwd,tail,10000,So11111111111111111111111111111111111111112,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,62500000000,ok,17201159043484,ok,17079728113848,ok,17079728113848,71.097,71.097,win,66.000,66.775,109.889,112.608,1.000
sol-3TYgKwkE-10000usd-rev,tail,10000,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,So11111111111111111111111111111111111111112,3030495773674,ok,9573187320,ok,9496371372,ok,9496371372,80.890,80.890,win,67.000,68.029,106.731,98.396,1.000
sol-3TYgKwkE-100000usd-fwd,tail,100000,So11111111111111111111111111111111111111112,3TYgKwkE2Y3rxdw9osLRSpxpXmSC1C1oo19W9KHspump,625000000000,ok,86977946444757,ok,86666380156097,ok,86666380156097,35.950,35.950,win,76.000,76.971,108.917,154.473,1.000
